rank,channel_type,platform,name,url,topic,audience,subscribers_or_followers,avg_views,recent_activity,fit_score,priority,review_status,review_notes,source_provider,source_providers,source_keyword,source_url,discovery_query,confidence,contact_email,contact_page,sponsor_page,media_kit_url,score_reason,recommended_collaboration,missing_fields,notes
1,Developer Project,GitHub,Arindam200/awesome-ai-apps,https://www.studio1hq.com,"A collection of projects showcasing RAG, agents, workflows, and other AI use cases",Developers / open-source users inferred from GitHub repository,12.3K,Unknown,2026-05-09T06:54:45Z,87,High,new,Unknown,github,github,"serpapi tutorial, serpapi newsletter, serpapi SEO API",https://github.com/Arindam200/awesome-ai-apps,"serpapi tutorial stars:>20 in:name,description,readme",medium,Unknown,https://www.studio1hq.com,https://github.com/Arindam200,Unknown,匹配 AI Agent / LLM 工作流主题；匹配开发者和数据 API 受众；匹配 SEO 和搜索数据场景；有公开联系路径；有赞助页或 media kit 信号。,工作流模板：用 Talordata SERP API 自动化一个可复用的搜索数据工作流。,"contact_email, media_kit_url, avg_views",Unknown
2,Developer Project,GitHub,EvoAgentX/EvoAgentX,https://evoagentx.github.io/EvoAgentX,🚀 EvoAgentX: Building a Self-Evolving Ecosystem of AI Agents,Developers / open-source users inferred from GitHub repository,3K,Unknown,2026-05-15T13:33:07Z,85,High,new,Unknown,github,github,serpapi tutorial,https://github.com/EvoAgentX/EvoAgentX,"serpapi tutorial stars:>20 in:name,description,readme",medium,Unknown,https://evoagentx.github.io/EvoAgentX,https://github.com/EvoAgentX,Unknown,匹配 AI Agent / LLM 工作流主题；匹配开发者和数据 API 受众；匹配 SEO 和搜索数据场景；有公开联系路径；有赞助页或 media kit 信号。,赞助教程：展示 Talordata SERP API 如何支持 AI Agent 工作流。,"contact_email, media_kit_url, avg_views",Unknown
3,YouTube Creator,YouTube,Tech With Tim,https://www.youtube.com/channel/UC4JX40jDee_tINbkjycV4Sg,Build Anything With a CUSTOM MCP Server - Python Tutorial; Devin AI Is the Future of Coding… Full Tutorial; Build an AI Agent From Scratch in Python - Tutorial for Beginners,Developer / AI / SEO audience inferred from video topics,Unknown,238K,Unknown,85,High,new,Unknown,ytdlp,ytdlp,"serper tutorial, serper sponsor tutorial, AI agent tutorial, LangChain tutorial, LlamaIndex tutorial, Python web scraping, AI tools for developers, build AI agent with search",https://www.youtube.com/channel/UC4JX40jDee_tINbkjycV4Sg,"serper tutorial, serper sponsor tutorial, AI agent tutorial, LangChain tutorial, LlamaIndex tutorial, Python web scraping, AI tools for developers, build AI agent with search",medium,Unknown,https://www.youtube.com/channel/UC4JX40jDee_tINbkjycV4Sg,Unknown,Unknown,匹配 AI Agent / LLM 工作流主题；匹配开发者和数据 API 受众；匹配 SEO 和搜索数据场景；有公开联系路径。,技术教程：使用 Talordata SERP API 为 LLM/RAG 工作流提供外部搜索上下文。,"contact_email, sponsor_page, media_kit_url, subscribers_or_followers",Discovered from competitor-related query.
4,YouTube Creator,YouTube,Tina Huang,https://www.youtube.com/channel/UC2UXDak6o7rBm23k3Vv5dww,AI Agents Fundamentals In 21 Minutes; Local AI Agents In 26 Minutes,Developer / AI / SEO audience inferred from video topics,Unknown,631.2K,Unknown,85,High,new,Unknown,ytdlp,ytdlp,"AI agent tutorial, build AI agent with search",https://www.youtube.com/channel/UC2UXDak6o7rBm23k3Vv5dww,"AI agent tutorial, build AI agent with search",medium,Unknown,https://www.youtube.com/channel/UC2UXDak6o7rBm23k3Vv5dww,Unknown,Unknown,匹配 AI Agent / LLM 工作流主题；匹配开发者和数据 API 受众；匹配 SEO 和搜索数据场景；有公开联系路径。,赞助教程：展示 Talordata SERP API 如何支持 AI Agent 工作流。,"contact_email, sponsor_page, media_kit_url, subscribers_or_followers",Unknown
5,Developer Project,GitHub,LearningCircuit/local-deep-research,https://github.com/LearningCircuit/local-deep-research," ~95% on SimpleQA (e.g. Qwen3.6-27B on a 3090). Supports all local and cloud LLMs (llama.cpp, Ollama, Google, ...). 10+ search engines - arXiv, PubMed, your private documents. Everything Local & Encrypted.",Developers / open-source users inferred from GitHub repository,7.8K,Unknown,2026-05-18T07:48:37Z,82,High,new,Unknown,github,github,serpapi tutorial,https://github.com/LearningCircuit/local-deep-research,"serpapi tutorial stars:>20 in:name,description,readme",medium,Unknown,https://github.com/LearningCircuit/local-deep-research,https://github.com/LearningCircuit,Unknown,匹配 AI Agent / LLM 工作流主题；匹配开发者和数据 API 受众；匹配 SEO 和搜索数据场景；有公开联系路径；有赞助页或 media kit 信号。,赞助文章或视频：展示 Talordata SERP API 在搜索可见性、排名监控或 SEO 自动化中的用法。,"contact_email, media_kit_url, avg_views",Unknown
6,Developer Project,GitHub,nashsu/llm_wiki,https://github.com/nashsu/llm_wiki,"LLM Wiki is a cross-platform desktop application that turns your documents into an organized, interlinked knowledge base — automatically. Instead of traditional RAG (retrieve-and-answer from scratch every time), the LLM incrementally builds",Developers / open-source users inferred from GitHub repository,7.9K,Unknown,2026-05-14T12:09:22Z,82,High,new,Unknown,github,github,serpapi comparison,https://github.com/nashsu/llm_wiki,"serpapi comparison stars:>20 in:name,description,readme",medium,Unknown,https://github.com/nashsu/llm_wiki,https://github.com/nashsu,Unknown,匹配 AI Agent / LLM 工作流主题；匹配开发者和数据 API 受众；匹配 SEO 和搜索数据场景；有公开联系路径；有赞助页或 media kit 信号。,技术教程：使用 Talordata SERP API 为 LLM/RAG 工作流提供外部搜索上下文。,"contact_email, media_kit_url, avg_views",Unknown
7,Developer Project,GitHub,Fosowl/agenticSeek,http://agenticseek.tech,"Fully Local Manus AI. No APIs, No $200 monthly bills. Enjoy an autonomous agent that thinks, browses the web, and code for the sole cost of electricity. 🔔 Official updates only via twitter @Martin993886460 (Beware of fake account)",Developers / open-source users inferred from GitHub repository,26.4K,Unknown,2026-05-17T12:03:19Z,81,High,new,Unknown,github,github,"serpapi sponsored, serpapi sponsor, serpapi web scraping",https://github.com/Fosowl/agenticSeek,"serpapi sponsored stars:>20 in:name,description,readme",medium,Unknown,http://agenticseek.tech,https://github.com/Fosowl,Unknown,匹配开发者和数据 API 受众；匹配 SEO 和搜索数据场景；有公开联系路径；有赞助页或 media kit 信号。,赞助教程：展示 Talordata SERP API 如何支持 AI Agent 工作流。,"contact_email, media_kit_url, avg_views",Unknown
8,Developer Project,GitHub,ripienaar/free-for-dev,https://free-for.dev,"A list of SaaS, PaaS and IaaS offerings that have free tiers of interest to devops and infradev",Developers / open-source users inferred from GitHub repository,122.4K,Unknown,2026-05-17T14:03:20Z,80,High,new,Unknown,github,github,"serpapi tutorial, serpapi review, serpapi alternative, serpapi newsletter, serpapi youtube, serpapi web scraping, serpapi SEO API",https://github.com/ripienaar/free-for-dev,"serpapi tutorial stars:>20 in:name,description,readme",medium,Unknown,https://free-for.dev,https://github.com/ripienaar,Unknown,匹配开发者和数据 API 受众；匹配 SEO 和搜索数据场景；有公开联系路径；有赞助页或 media kit 信号。,赞助编程视频：围绕 Talordata SERP API 构建一个实用的 Python 搜索数据工作流。,"contact_email, media_kit_url, avg_views",Unknown
9,YouTube Creator,YouTube,Fireship,https://www.youtube.com/channel/UCsBjURrPoezykLs9EqgamOA,Paying for software is stupid… 10 free and open-source SaaS replacements; n8n will change your life as a developer...; Anthropic just released the real Claude Bot...,Developer / AI / SEO audience inferred from video topics,Unknown,1.2M,Unknown,80,High,new,Unknown,ytdlp,ytdlp,"serpapi alternative, serpapi comparison, serpapi sponsor, serpapi newsletter, serpapi.com alternative, serpapi.com comparison, serpapi.com sponsored, serpapi.com newsletter, serper alternative tutorial, serper alternative guide, serper comparison guide, Python web scraping, n8n automation tutorial, web scraping API, AI tools for developers",https://www.youtube.com/channel/UCsBjURrPoezykLs9EqgamOA,"serpapi alternative, serpapi comparison, serpapi sponsor, serpapi newsletter, serpapi.com alternative, serpapi.com comparison, serpapi.com sponsored, serpapi.com newsletter, serper alternative tutorial, serper alternative guide, serper comparison guide, Python web scraping, n8n automation tutorial, web scraping API, AI tools for developers",medium,Unknown,https://www.youtube.com/channel/UCsBjURrPoezykLs9EqgamOA,Unknown,Unknown,匹配开发者和数据 API 受众；匹配 SEO 和搜索数据场景；有公开联系路径。,工作流模板：用 Talordata SERP API 自动化一个可复用的搜索数据工作流。,"contact_email, sponsor_page, media_kit_url, subscribers_or_followers",Discovered from competitor-related query.
10,YouTube Creator,YouTube,Nick Saraev,https://www.youtube.com/channel/UCbo-KbSjJDG6JWQ_MTZ_rNA,Scrape Unlimited Leads WITHOUT Paying for APIs (99% FREE); It Got Worse (Clawdbot); AI Agents Full Course 2026: Master Agentic AI (2 Hours),Developer / AI / SEO audience inferred from video topics,Unknown,219.4K,Unknown,80,High,new,Unknown,ytdlp,ytdlp,"serpapi alternative, serpapi newsletter, serpapi.com alternative, serpapi.com newsletter, serper review, serper review tutorial, AI agent tutorial, n8n automation tutorial",https://www.youtube.com/channel/UCbo-KbSjJDG6JWQ_MTZ_rNA,"serpapi alternative, serpapi newsletter, serpapi.com alternative, serpapi.com newsletter, serper review, serper review tutorial, AI agent tutorial, n8n automation tutorial",medium,Unknown,https://www.youtube.com/channel/UCbo-KbSjJDG6JWQ_MTZ_rNA,Unknown,Unknown,匹配 AI Agent / LLM 工作流主题；匹配开发者和数据 API 受众；匹配 SEO 和搜索数据场景；有公开联系路径。,工作流模板：用 Talordata SERP API 自动化一个可复用的搜索数据工作流。,"contact_email, sponsor_page, media_kit_url, subscribers_or_followers",Discovered from competitor-related query.
