rank,channel_type,platform,name,url,topic,audience,subscribers_or_followers,avg_views,recent_activity,fit_score,priority,review_status,review_notes,source_provider,source_providers,source_keyword,source_url,discovery_query,confidence,contact_email,contact_page,sponsor_page,media_kit_url,score_reason,recommended_collaboration,missing_fields,notes
1,YouTube Creator,YouTube,Tech With Tim,https://www.youtube.com/channel/UC4JX40jDee_tINbkjycV4Sg,Web Scraping 101: A Million Dollar Project Idea; Python Web Scraping: A Million Dollar Project Idea - FULL Build/Tutorial; Python AI Web Scraper Tutorial - Use AI To Scrape ANYTHING,Developer / AI / SEO audience inferred from video topics,Unknown,288.6K,Unknown,80,High,new,Unknown,ytdlp,ytdlp,"web scraping API tutorial, Python web scraping tutorial, AI agent web search tutorial, search API for AI agents, web scraping for developers",https://www.youtube.com/channel/UC4JX40jDee_tINbkjycV4Sg,"web scraping API tutorial, Python web scraping tutorial, AI agent web search tutorial, search API for AI agents, web scraping for developers",medium,Unknown,Unknown,Unknown,Unknown,matches AI agent / LLM workflow topics; matches developer and data API audience; matches SEO and search data use cases.,Technical tutorial: Use Talordata SERP API as external context for LLM/RAG workflows.,"contact_email, contact_page, sponsor_page, media_kit_url, subscribers_or_followers",Unknown
2,YouTube Creator,YouTube,Fireship,https://www.youtube.com/channel/UCsBjURrPoezykLs9EqgamOA,Am I going to jail for web scraping?; Google's secret algorithm exposed via leak to GitHub…; 7 new open source AI tools you need right now…,Developer / AI / SEO audience inferred from video topics,Unknown,1M,Unknown,75,Medium,new,Unknown,ytdlp,ytdlp,"web scraping API tutorial, Python web scraping tutorial, Google Search API tutorial, search API for AI agents, web scraping for developers",https://www.youtube.com/channel/UCsBjURrPoezykLs9EqgamOA,"web scraping API tutorial, Python web scraping tutorial, Google Search API tutorial, search API for AI agents, web scraping for developers",medium,Unknown,Unknown,Unknown,Unknown,matches AI agent / LLM workflow topics; matches developer and data API audience; matches SEO and search data use cases.,Sponsored tutorial: Show how Talordata SERP API supports AI agent workflows.,"contact_email, contact_page, sponsor_page, media_kit_url, subscribers_or_followers",Unknown
3,YouTube Creator,YouTube,Nate Herk | AI Automation,https://www.youtube.com/channel/UC2ojq-nuP8ceeHqiroeKhBA,The Simplest Way to Automate Scraping Anything with No Code (Apify + n8n tutorial); Build Your First Research AI Agent in 12 mins (No Code); Gemini's New File Search Just Leveled Up RAG Agents (10x Cheaper),Developer / AI / SEO audience inferred from video topics,Unknown,329.3K,Unknown,75,Medium,new,Unknown,ytdlp,ytdlp,"web scraping API tutorial, AI agent web search tutorial, RAG web search tutorial, search API for AI agents, Apify web scraping tutorial, AI automation tutorial",https://www.youtube.com/channel/UC2ojq-nuP8ceeHqiroeKhBA,"web scraping API tutorial, AI agent web search tutorial, RAG web search tutorial, search API for AI agents, Apify web scraping tutorial, AI automation tutorial",medium,Unknown,Unknown,Unknown,Unknown,matches AI agent / LLM workflow topics; matches developer and data API audience; matches SEO and search data use cases.,Workflow template: Automate a repeatable workflow with Talordata SERP API.,"contact_email, contact_page, sponsor_page, media_kit_url, subscribers_or_followers",Unknown
4,YouTube Creator,YouTube,freeCodeCamp.org,https://www.youtube.com/channel/UC8butISFwT-Wl7EV0hUK0BQ,Web Scraping with Python - Beautiful Soup Crash Course; Scrapy Course – Python Web Scraping for Beginners; APIs for Beginners - How to use an API (Full Course / Tutorial),Developer / AI / SEO audience inferred from video topics,Unknown,1.7M,Unknown,75,Medium,new,Unknown,ytdlp,ytdlp,"web scraping API tutorial, Python web scraping tutorial, Google Search API tutorial, RAG web search tutorial",https://www.youtube.com/channel/UC8butISFwT-Wl7EV0hUK0BQ,"web scraping API tutorial, Python web scraping tutorial, Google Search API tutorial, RAG web search tutorial",medium,Unknown,Unknown,Unknown,Unknown,matches AI agent / LLM workflow topics; matches developer and data API audience; matches SEO and search data use cases.,Technical tutorial: Use Talordata SERP API as external context for LLM/RAG workflows.,"contact_email, contact_page, sponsor_page, media_kit_url, subscribers_or_followers",Unknown
5,YouTube Creator,YouTube,Nick Saraev,https://www.youtube.com/channel/UCbo-KbSjJDG6JWQ_MTZ_rNA,Scrape Unlimited Leads WITHOUT Paying for APIs (99% FREE); Apify FULL GUIDE 2025 (Scrape Literally Anything); N8N FULL COURSE 6 HOURS (Build & Sell AI Automations + Agents),Developer / AI / SEO audience inferred from video topics,Unknown,348K,Unknown,75,Medium,new,Unknown,ytdlp,ytdlp,"Google Maps scraping tutorial, Apify web scraping tutorial, AI automation tutorial",https://www.youtube.com/channel/UCbo-KbSjJDG6JWQ_MTZ_rNA,"Google Maps scraping tutorial, Apify web scraping tutorial, AI automation tutorial",medium,Unknown,Unknown,Unknown,Unknown,matches developer and data API audience; matches SEO and search data use cases.,Workflow template: Automate a repeatable workflow with Talordata SERP API.,"contact_email, contact_page, sponsor_page, media_kit_url, subscribers_or_followers",Unknown
6,YouTube Creator,YouTube,Jake AI Marketing,https://www.youtube.com/channel/UC-ZUc2CLx3mwcq39zyqfhDA,I Built an Entire SEO Automation to Rank #1 on Google for $1 (AI Agent + N8N),Developer / AI / SEO audience inferred from video topics,Unknown,24.4K,Unknown,73,Medium,new,Unknown,ytdlp,ytdlp,SEO automation tutorial,https://www.youtube.com/channel/UC-ZUc2CLx3mwcq39zyqfhDA,SEO automation tutorial,medium,Unknown,Unknown,Unknown,Unknown,matches AI agent / LLM workflow topics; matches developer and data API audience; matches SEO and search data use cases.,Workflow template: Automate a repeatable workflow with Talordata SERP API.,"contact_email, contact_page, sponsor_page, media_kit_url, subscribers_or_followers",Unknown
7,YouTube Creator,YouTube,Jono Catliff,https://www.youtube.com/channel/UCnzxPyNnn8jk4bHFk3JUBhA,"Claude Code SEO: How I Got 50,000 Clicks Per Month (Steal This); Apify Basics: How To Scrape Anything In Minutes (No Code)",Developer / AI / SEO audience inferred from video topics,Unknown,60.3K,Unknown,73,Medium,new,Unknown,ytdlp,ytdlp,"SEO automation tutorial, Apify web scraping tutorial",https://www.youtube.com/channel/UCnzxPyNnn8jk4bHFk3JUBhA,"SEO automation tutorial, Apify web scraping tutorial",medium,Unknown,Unknown,Unknown,Unknown,matches developer and data API audience; matches SEO and search data use cases.,Workflow template: Automate a repeatable workflow with Talordata SERP API.,"contact_email, contact_page, sponsor_page, media_kit_url, subscribers_or_followers",Unknown
8,YouTube Creator,YouTube,Unclecode,https://www.youtube.com/channel/UCpnV0jtSvh4uifO7C6fSnVg,Crawl4ai: Build your own SERP API for you AI agents,Developer / AI / SEO audience inferred from video topics,Unknown,5.6K,Unknown,71,Medium,new,Unknown,ytdlp,ytdlp,SERP API tutorial,https://www.youtube.com/channel/UCpnV0jtSvh4uifO7C6fSnVg,SERP API tutorial,medium,Unknown,Unknown,Unknown,Unknown,matches AI agent / LLM workflow topics; matches developer and data API audience; matches SEO and search data use cases.,Sponsored tutorial: Show how Talordata SERP API supports AI agent workflows.,"contact_email, contact_page, sponsor_page, media_kit_url, subscribers_or_followers",Unknown
9,YouTube Creator,YouTube,The Metaverse Guy,https://www.youtube.com/channel/UCYEHmQ-b1iC02-LMeseQsvw,Build a Google Web Scraper with AI in 7 Minutes (NO CAPTCHAS) | SERP API + DeepSeek V4,Developer / AI / SEO audience inferred from video topics,Unknown,7.7K,Unknown,71,Medium,new,Unknown,ytdlp,ytdlp,Google SERP API tutorial,https://www.youtube.com/channel/UCYEHmQ-b1iC02-LMeseQsvw,Google SERP API tutorial,medium,Unknown,Unknown,Unknown,Unknown,matches developer and data API audience; matches SEO and search data use cases.,"Sponsored article: Use Talordata SERP API for search visibility, monitoring, or SEO workflows.","contact_email, contact_page, sponsor_page, media_kit_url, subscribers_or_followers",Unknown
10,YouTube Creator,YouTube,RapidDev,https://www.youtube.com/channel/UClbMqegYuq1Slsdk852GveQ,Get Prospects by Scraping Google for Linkedin Profiles with n8n and SerpAPI,Developer / AI / SEO audience inferred from video topics,Unknown,4.1K,Unknown,71,Medium,new,Unknown,ytdlp,ytdlp,Google SERP API tutorial,https://www.youtube.com/channel/UClbMqegYuq1Slsdk852GveQ,Google SERP API tutorial,medium,Unknown,Unknown,Unknown,Unknown,matches developer and data API audience; matches SEO and search data use cases.,Workflow template: Automate a repeatable workflow with Talordata SERP API.,"contact_email, contact_page, sponsor_page, media_kit_url, subscribers_or_followers",Unknown
