rank,channel_type,platform,name,url,topic,audience,subscribers_or_followers,avg_views,recent_activity,fit_score,priority,review_status,review_notes,source_provider,source_providers,source_keyword,source_url,discovery_query,confidence,contact_email,contact_page,sponsor_page,media_kit_url,score_reason,recommended_collaboration,missing_fields,notes
1,Developer Project,GitHub,bradtraversy/design-resources-for-developers,https://github.com/bradtraversy/design-resources-for-developers,"Curated list of design and UI resources from stock photos, web templates, CSS frameworks, UI libraries, tools and much more",Developers / open-source users inferred from GitHub repository,65.5K,Unknown,2026-04-13T10:23:07Z,89,High,new,Unknown,github,github,SERP API,https://github.com/bradtraversy/design-resources-for-developers,"SERP API stars:>20 in:name,description,readme",medium,Unknown,https://github.com/bradtraversy/design-resources-for-developers,https://github.com/bradtraversy,Unknown,matches developer and data API audience; matches SEO and search data use cases; has a public contact path; has sponsorship or media kit signal.,"Sponsored article: Use Talordata SERP API for search visibility, monitoring, or SEO workflows.","contact_email, media_kit_url, avg_views",Unknown
2,Developer Project,GitHub,open-webui/open-webui,https://openwebui.com,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)",Developers / open-source users inferred from GitHub repository,137K,Unknown,2026-05-14T05:12:43Z,88,High,new,Unknown,github,github,"SERP API, Google SERP API",https://github.com/open-webui/open-webui,"SERP API stars:>20 in:name,description,readme",medium,Unknown,https://openwebui.com,https://github.com/open-webui,Unknown,matches developer and data API audience; matches SEO and search data use cases; has a public contact path; has sponsorship or media kit signal.,"Sponsored article: Use Talordata SERP API for search visibility, monitoring, or SEO workflows.","contact_email, media_kit_url, avg_views",Unknown
3,Developer Project,GitHub,punkpeye/awesome-mcp-servers,https://glama.ai/mcp/servers,A collection of MCP servers.,Developers / open-source users inferred from GitHub repository,86.9K,Unknown,2026-05-02T16:08:17Z,86,High,new,Unknown,github,github,"SERP API, Google SERP API",https://github.com/punkpeye/awesome-mcp-servers,"SERP API stars:>20 in:name,description,readme",medium,Unknown,https://glama.ai/mcp/servers,https://github.com/punkpeye,Unknown,matches developer and data API audience; matches SEO and search data use cases; has a public contact path; has sponsorship or media kit signal.,"Sponsored article: Use Talordata SERP API for search visibility, monitoring, or SEO workflows.","contact_email, media_kit_url, avg_views",Unknown
4,Developer Project,GitHub,thedaviddias/Front-End-Checklist,https://frontendchecklist.io,🗂 The perfect Front-End Checklist for modern websites and meticulous developers,Developers / open-source users inferred from GitHub repository,72.6K,Unknown,2026-03-16T22:54:03Z,83,High,new,Unknown,github,github,"SERP API, Google SERP API",https://github.com/thedaviddias/Front-End-Checklist,"SERP API stars:>20 in:name,description,readme",medium,Unknown,https://frontendchecklist.io,https://github.com/thedaviddias,Unknown,matches developer and data API audience; matches SEO and search data use cases; has a public contact path; has sponsorship or media kit signal.,"Sponsored article: Use Talordata SERP API for search visibility, monitoring, or SEO workflows.","contact_email, media_kit_url, avg_views",Unknown
5,Developer Project,GitHub,GoogleChrome/lighthouse,https://developer.chrome.com/docs/lighthouse/overview,"Automated auditing, performance metrics, and best practices for the web.",Developers / open-source users inferred from GitHub repository,30.2K,Unknown,2026-05-12T18:45:31Z,81,High,new,Unknown,github,github,SERP API,https://github.com/GoogleChrome/lighthouse,"SERP API stars:>20 in:name,description,readme",medium,Unknown,https://developer.chrome.com/docs/lighthouse/overview,https://github.com/GoogleChrome,Unknown,matches developer and data API audience; matches SEO and search data use cases; has a public contact path; has sponsorship or media kit signal.,"Sponsored article: Use Talordata SERP API for search visibility, monitoring, or SEO workflows.","contact_email, media_kit_url, avg_views",Unknown
6,Developer Project,GitHub,n0shake/Public-APIs,https://github.com/n0shake/Public-APIs,📚 A public list of APIs from round the web.,Developers / open-source users inferred from GitHub repository,23.4K,Unknown,2026-05-03T19:24:28Z,81,High,new,Unknown,github,github,SERP API,https://github.com/n0shake/Public-APIs,"SERP API stars:>20 in:name,description,readme",medium,Unknown,https://github.com/n0shake/Public-APIs,https://github.com/n0shake,Unknown,matches developer and data API audience; matches SEO and search data use cases; has a public contact path; has sponsorship or media kit signal.,"Sponsored article: Use Talordata SERP API for search visibility, monitoring, or SEO workflows.","contact_email, media_kit_url, avg_views",Unknown
7,YouTube Creator,YouTube,Tina Huang,https://www.youtube.com/channel/UC2UXDak6o7rBm23k3Vv5dww,AI For Data Analysis In 21 Minutes; 🐙 Building AI Agents: A Step-by-Step Guide; Local AI Agents In 26 Minutes,Developer / AI / SEO audience inferred from video topics,Unknown,471.3K,Unknown,80,High,new,Unknown,ytdlp,ytdlp,"AI 搜索数据 tutorial, AI 搜索数据 guide, AI agent tutorial",https://www.youtube.com/channel/UC2UXDak6o7rBm23k3Vv5dww,"AI 搜索数据 tutorial, AI 搜索数据 guide, AI agent tutorial",medium,Unknown,Unknown,Unknown,Unknown,matches AI agent / LLM workflow topics; matches developer and data API audience; matches SEO and search data use cases.,Sponsored tutorial: Show how Talordata SERP API supports AI agent workflows.,"contact_email, contact_page, sponsor_page, media_kit_url, subscribers_or_followers",Unknown
8,YouTube Creator,YouTube,Tech With Tim,https://www.youtube.com/channel/UC4JX40jDee_tINbkjycV4Sg,"Build an AI Agent From Scratch in Python - Tutorial for Beginners; LangChain Explained In 15 Minutes - A MUST Learn For Python Programmers; Python Advanced AI Agent Tutorial - LlamaIndex, Ollama and Multi-LLM!",Developer / AI / SEO audience inferred from video topics,Unknown,295.4K,Unknown,80,High,new,Unknown,ytdlp,ytdlp,"AI agent tutorial, LangChain tutorial, LlamaIndex tutorial, RAG tutorial, Python web scraping, AI tools for developers, build AI agent with search",https://www.youtube.com/channel/UC4JX40jDee_tINbkjycV4Sg,"AI agent tutorial, LangChain tutorial, LlamaIndex tutorial, RAG tutorial, Python web scraping, AI tools for developers, build AI agent with search",medium,Unknown,Unknown,Unknown,Unknown,matches AI agent / LLM workflow topics; matches developer and data API audience; matches SEO and search data use cases.,Technical tutorial: Use Talordata SERP API as external context for LLM/RAG workflows.,"contact_email, contact_page, sponsor_page, media_kit_url, subscribers_or_followers",Unknown
9,Developer Project,GitHub,marcelscruz/public-apis,https://publicapis.dev,A collaborative list of public APIs for developers,Developers / open-source users inferred from GitHub repository,9K,Unknown,2026-05-11T15:25:14Z,79,Medium,new,Unknown,github,github,SERP API,https://github.com/marcelscruz/public-apis,"SERP API stars:>20 in:name,description,readme",medium,Unknown,https://publicapis.dev,https://github.com/marcelscruz,Unknown,matches developer and data API audience; matches SEO and search data use cases; has a public contact path; has sponsorship or media kit signal.,"Sponsored article: Use Talordata SERP API for search visibility, monitoring, or SEO workflows.","contact_email, media_kit_url, avg_views",Unknown
10,Developer Project,GitHub,dzhng/deep-research,https://github.com/dzhng/deep-research,"An AI-powered research assistant that performs iterative, deep research on any topic by combining search engines, web scraping, and large language models.  The goal of this repo is to provide the simplest implementation of a deep research a",Developers / open-source users inferred from GitHub repository,18.9K,Unknown,2026-04-11T23:58:25Z,76,Medium,new,Unknown,github,github,SERP API,https://github.com/dzhng/deep-research,"SERP API stars:>20 in:name,description,readme",medium,Unknown,https://github.com/dzhng/deep-research,https://github.com/dzhng,Unknown,matches developer and data API audience; matches SEO and search data use cases; has a public contact path; has sponsorship or media kit signal.,Sponsored coding video: Build a practical Python workflow with Talordata SERP API.,"contact_email, media_kit_url, avg_views",Unknown
